sample,arabinose,AHL,fluo,time,mean,sd,category
Heterogenous_offsite,0,0,GFP,16.66666667,39563.8876,4917.913872,2
Heterogenous_offsite,0,0.0015625,GFP,16.66666667,54299.03089,34430.7899,2
Heterogenous_offsite,0,0.00625,GFP,16.66666667,32624.36156,2320.302021,2
Heterogenous_offsite,0,0.025,GFP,16.66666667,24409.47024,1783.612065,2
Heterogenous_offsite,0,0.1,GFP,16.66666667,16315.65667,2455.420569,2
Heterogenous_offsite,0,10,GFP,16.66666667,6794.721546,715.4752237,2
Heterogenous_offsite,2.00E-07,0,GFP,16.66666667,38570.94386,4547.223183,2
Heterogenous_offsite,2.00E-07,0.0015625,GFP,16.66666667,44970.57118,21351.58783,2
Heterogenous_offsite,2.00E-07,0.00625,GFP,16.66666667,38863.07207,13556.88053,2
Heterogenous_offsite,2.00E-07,0.025,GFP,16.66666667,23268.96353,1727.077718,2
Heterogenous_offsite,2.00E-07,0.1,GFP,16.66666667,15066.92369,3697.451151,2
Heterogenous_offsite,2.00E-07,10,GFP,16.66666667,9420.159953,4663.140995,2
Heterogenous_offsite,2.00E-06,0,GFP,16.66666667,41134.30194,6507.161636,2
Heterogenous_offsite,2.00E-06,0.0015625,GFP,16.66666667,44853.50372,19585.68771,2
Heterogenous_offsite,2.00E-06,0.00625,GFP,16.66666667,30990.6704,2892.112822,2
Heterogenous_offsite,2.00E-06,0.025,GFP,16.66666667,23252.61669,1565.827386,2
Heterogenous_offsite,2.00E-06,0.1,GFP,16.66666667,15760.56785,3684.574393,2
Heterogenous_offsite,2.00E-06,10,GFP,16.66666667,5711.026059,2477.554494,2
Heterogenous_offsite,2.00E-05,0,GFP,16.66666667,78082.90513,22290.09488,2
Heterogenous_offsite,2.00E-05,0.0015625,GFP,16.66666667,68992.9092,24768.45786,2
Heterogenous_offsite,2.00E-05,0.00625,GFP,16.66666667,45079.87985,12056.76119,2
Heterogenous_offsite,2.00E-05,0.025,GFP,16.66666667,24387.91299,1174.792821,2
Heterogenous_offsite,2.00E-05,0.1,GFP,16.66666667,15216.48894,2779.056556,2
Heterogenous_offsite,2.00E-05,10,GFP,16.66666667,10269.83914,3888.918995,2
Heterogenous_offsite,2.00E-04,0,GFP,16.66666667,117821.6235,16651.3244,2
Heterogenous_offsite,2.00E-04,0.0015625,GFP,16.66666667,101922.4653,16033.68334,2
Heterogenous_offsite,2.00E-04,0.00625,GFP,16.66666667,79325.76623,15332.40424,2
Heterogenous_offsite,2.00E-04,0.025,GFP,16.66666667,30129.05741,3536.698884,2
