sample,arabinose,AHL,fluo,time,mean,sd
Heterogenous_offsite,0,0,GFP,16.66666667,39563.8876,4917.913872
Heterogenous_offsite,0,0,mKate,16.66666667,281.0133003,81.41184923
Heterogenous_offsite,0,0.0015625,GFP,16.66666667,54299.03089,34430.7899
Heterogenous_offsite,0,0.0015625,mKate,16.66666667,315.5784343,110.6316653
Heterogenous_offsite,0,0.00625,GFP,16.66666667,32624.36156,2320.302021
Heterogenous_offsite,0,0.00625,mKate,16.66666667,606.5126891,223.6909481
Heterogenous_offsite,0,0.025,GFP,16.66666667,24409.47024,1783.612065
Heterogenous_offsite,0,0.025,mKate,16.66666667,2376.865097,1418.823885
Heterogenous_offsite,0,0.1,GFP,16.66666667,16315.65667,2455.420569
Heterogenous_offsite,0,0.1,mKate,16.66666667,3297.158672,2626.06809
Heterogenous_offsite,0,10,GFP,16.66666667,6794.721546,715.4752237
Heterogenous_offsite,0,10,mKate,16.66666667,1508.656078,1430.701602
Heterogenous_offsite,0.0000002,0,GFP,16.66666667,38570.94386,4547.223183
Heterogenous_offsite,0.0000002,0,mKate,16.66666667,257.434278,93.49094043
Heterogenous_offsite,0.0000002,0.0015625,GFP,16.66666667,44970.57118,21351.58783
Heterogenous_offsite,0.0000002,0.0015625,mKate,16.66666667,277.6272149,92.25383197
Heterogenous_offsite,0.0000002,0.00625,GFP,16.66666667,38863.07207,13556.88053
Heterogenous_offsite,0.0000002,0.00625,mKate,16.66666667,523.9370537,159.7336663
Heterogenous_offsite,0.0000002,0.025,GFP,16.66666667,23268.96353,1727.077718
Heterogenous_offsite,0.0000002,0.025,mKate,16.66666667,2020.936428,1070.80532
Heterogenous_offsite,0.0000002,0.1,GFP,16.66666667,15066.92369,3697.451151
Heterogenous_offsite,0.0000002,0.1,mKate,16.66666667,2668.79627,1452.642795
Heterogenous_offsite,0.0000002,10,GFP,16.66666667,9420.159953,4663.140995
Heterogenous_offsite,0.0000002,10,mKate,16.66666667,1631.532155,1707.82337
Heterogenous_offsite,0.000002,0,GFP,16.66666667,41134.30194,6507.161636
Heterogenous_offsite,0.000002,0,mKate,16.66666667,245.0147567,71.1769736
Heterogenous_offsite,0.000002,0.0015625,GFP,16.66666667,44853.50372,19585.68771
Heterogenous_offsite,0.000002,0.0015625,mKate,16.66666667,252.5906484,81.0362074
Heterogenous_offsite,0.000002,0.00625,GFP,16.66666667,30990.6704,2892.112822
Heterogenous_offsite,0.000002,0.00625,mKate,16.66666667,474.6841521,162.3335009
Heterogenous_offsite,0.000002,0.025,GFP,16.66666667,23252.61669,1565.827386
Heterogenous_offsite,0.000002,0.025,mKate,16.66666667,1833.559902,910.3521352
Heterogenous_offsite,0.000002,0.1,GFP,16.66666667,15760.56785,3684.574393
Heterogenous_offsite,0.000002,0.1,mKate,16.66666667,3371.472367,2267.073554
Heterogenous_offsite,0.000002,10,GFP,16.66666667,5711.026059,2477.554494
Heterogenous_offsite,0.000002,10,mKate,16.66666667,1711.163374,1532.836943
Heterogenous_offsite,0.00002,0,GFP,16.66666667,78082.90513,22290.09488
Heterogenous_offsite,0.00002,0,mKate,16.66666667,275.5934244,83.63497318
Heterogenous_offsite,0.00002,0.0015625,GFP,16.66666667,68992.9092,24768.45786
Heterogenous_offsite,0.00002,0.0015625,mKate,16.66666667,262.1315697,78.48355407
Heterogenous_offsite,0.00002,0.00625,GFP,16.66666667,45079.87985,12056.76119
Heterogenous_offsite,0.00002,0.00625,mKate,16.66666667,469.7449631,112.8542243
Heterogenous_offsite,0.00002,0.025,GFP,16.66666667,24387.91299,1174.792821
Heterogenous_offsite,0.00002,0.025,mKate,16.66666667,1821.873285,906.7941921
Heterogenous_offsite,0.00002,0.1,GFP,16.66666667,15216.48894,2779.056556
Heterogenous_offsite,0.00002,0.1,mKate,16.66666667,2819.884561,1714.976206
Heterogenous_offsite,0.00002,10,GFP,16.66666667,10269.83914,3888.918995
Heterogenous_offsite,0.00002,10,mKate,16.66666667,640.9433596,539.638467
Heterogenous_offsite,0.0002,0,GFP,16.66666667,117821.6235,16651.3244
Heterogenous_offsite,0.0002,0,mKate,16.66666667,328.6866774,98.33044924
Heterogenous_offsite,0.0002,0.0015625,GFP,16.66666667,101922.4653,16033.68334
Heterogenous_offsite,0.0002,0.0015625,mKate,16.66666667,305.0257778,98.72129845
Heterogenous_offsite,0.0002,0.00625,GFP,16.66666667,79325.76623,15332.40424
Heterogenous_offsite,0.0002,0.00625,mKate,16.66666667,556.7776603,183.2605481
Heterogenous_offsite,0.0002,0.025,GFP,16.66666667,30129.05741,3536.698884
Heterogenous_offsite,0.0002,0.025,mKate,16.66666667,1943.374138,974.3614073
Heterogenous_offsite,0.0002,0.1,GFP,16.66666667,15449.28615,3071.469927
Heterogenous_offsite,0.0002,0.1,mKate,16.66666667,3361.430403,1923.956976
Heterogenous_offsite,0.0002,10,GFP,16.66666667,6213.062015,2986.706312
Heterogenous_offsite,0.0002,10,mKate,16.66666667,902.6010144,447.7264819
Heterogenous_offsite,0.002,0,GFP,16.66666667,122699.5136,16837.95313
Heterogenous_offsite,0.002,0,mKate,16.66666667,337.7186218,94.84295683
Heterogenous_offsite,0.002,0.0015625,GFP,16.66666667,107078.3578,15491.68386
Heterogenous_offsite,0.002,0.0015625,mKate,16.66666667,313.2121062,115.475809
Heterogenous_offsite,0.002,0.00625,GFP,16.66666667,81140.76665,12311.58165
Heterogenous_offsite,0.002,0.00625,mKate,16.66666667,568.6696065,239.5881513
Heterogenous_offsite,0.002,0.025,GFP,16.66666667,29213.82945,4900.016491
Heterogenous_offsite,0.002,0.025,mKate,16.66666667,2045.628918,1022.209011
Heterogenous_offsite,0.002,0.1,GFP,16.66666667,14440.27221,2142.748243
Heterogenous_offsite,0.002,0.1,mKate,16.66666667,3778.947646,2337.98377
Heterogenous_offsite,0.002,10,GFP,16.66666667,10617.2901,3308.561176
Heterogenous_offsite,0.002,10,mKate,16.66666667,1350.179001,1896.077976
Heterogenous_offsite,0.02,0,GFP,16.66666667,118683.3058,18198.87451
Heterogenous_offsite,0.02,0,mKate,16.66666667,341.062908,85.29248511
Heterogenous_offsite,0.02,0.0015625,GFP,16.66666667,102200.784,22326.8827
Heterogenous_offsite,0.02,0.0015625,mKate,16.66666667,363.1961056,29.59273689
Heterogenous_offsite,0.02,0.00625,GFP,16.66666667,77851.37768,16769.34267
Heterogenous_offsite,0.02,0.00625,mKate,16.66666667,657.1166748,170.2544104
Heterogenous_offsite,0.02,0.025,GFP,16.66666667,28083.10169,5421.420189
Heterogenous_offsite,0.02,0.025,mKate,16.66666667,2192.668344,1049.040551
Heterogenous_offsite,0.02,0.1,GFP,16.66666667,14273.01079,2437.110513
Heterogenous_offsite,0.02,0.1,mKate,16.66666667,3887.243904,2473.043358
Heterogenous_offsite,0.02,10,GFP,16.66666667,7951.795166,2712.201641
Heterogenous_offsite,0.02,10,mKate,16.66666667,1210.698308,452.1659045
Heterogenous_offsite,0.2,0,GFP,16.66666667,118569.4651,11987.42704
Heterogenous_offsite,0.2,0,mKate,16.66666667,433.3389105,142.2564511
Heterogenous_offsite,0.2,0.0015625,GFP,16.66666667,107224.4861,13144.86878
Heterogenous_offsite,0.2,0.0015625,mKate,16.66666667,415.7970047,136.4227565
Heterogenous_offsite,0.2,0.00625,GFP,16.66666667,79186.10956,9027.926953
Heterogenous_offsite,0.2,0.00625,mKate,16.66666667,833.3953003,319.0983755
Heterogenous_offsite,0.2,0.025,GFP,16.66666667,27284.04539,4571.263307
Heterogenous_offsite,0.2,0.025,mKate,16.66666667,2853.564324,1397.371153
Heterogenous_offsite,0.2,0.1,GFP,16.66666667,14064.12612,2444.470317
Heterogenous_offsite,0.2,0.1,mKate,16.66666667,4095.338295,2509.072086
Heterogenous_offsite,0.2,10,GFP,16.66666667,6318.08156,536.8665887
Heterogenous_offsite,0.2,10,mKate,16.66666667,2139.431072,1321.915841
Heterogenous_onsite,0,0,GFP,16.66666667,15111.08411,1407.038813
Heterogenous_onsite,0,0,mKate,16.66666667,285.3105715,219.0166911
Heterogenous_onsite,0,0.0015625,GFP,16.66666667,15061.12839,1339.077714
Heterogenous_onsite,0,0.0015625,mKate,16.66666667,247.5851153,123.1307269
Heterogenous_onsite,0,0.00625,GFP,16.66666667,14012.84321,1245.063784
Heterogenous_onsite,0,0.00625,mKate,16.66666667,473.4814681,186.6028857
Heterogenous_onsite,0,0.025,GFP,16.66666667,9932.713615,424.7432742
Heterogenous_onsite,0,0.025,mKate,16.66666667,1762.205771,1085.548202
Heterogenous_onsite,0,0.1,GFP,16.66666667,7476.287413,371.7762283
Heterogenous_onsite,0,0.1,mKate,16.66666667,3580.020727,2294.507502
Heterogenous_onsite,0,10,GFP,16.66666667,8477.601404,6227.229857
Heterogenous_onsite,0,10,mKate,16.66666667,1148.593448,522.297174
Heterogenous_onsite,0.0000002,0,GFP,16.66666667,15032.4494,1703.651765
Heterogenous_onsite,0.0000002,0,mKate,16.66666667,170.603409,90.11103016
Heterogenous_onsite,0.0000002,0.0015625,GFP,16.66666667,14928.21072,1608.252452
Heterogenous_onsite,0.0000002,0.0015625,mKate,16.66666667,186.5878356,81.24143099
Heterogenous_onsite,0.0000002,0.00625,GFP,16.66666667,13748.24772,1119.170737
Heterogenous_onsite,0.0000002,0.00625,mKate,16.66666667,361.9256529,134.2535222
Heterogenous_onsite,0.0000002,0.025,GFP,16.66666667,9722.111381,1009.639282
Heterogenous_onsite,0.0000002,0.025,mKate,16.66666667,1524.185449,703.358533
Heterogenous_onsite,0.0000002,0.1,GFP,16.66666667,7430.452782,307.4865965
Heterogenous_onsite,0.0000002,0.1,mKate,16.66666667,3291.895337,2176.580456
Heterogenous_onsite,0.0000002,10,GFP,16.66666667,7937.084405,6275.104159
Heterogenous_onsite,0.0000002,10,mKate,16.66666667,1344.627829,1102.651471
Heterogenous_onsite,0.000002,0,GFP,16.66666667,15167.19231,1609.58385
Heterogenous_onsite,0.000002,0,mKate,16.66666667,159.1154838,70.99101442
Heterogenous_onsite,0.000002,0.0015625,GFP,16.66666667,14954.62971,1717.44688
Heterogenous_onsite,0.000002,0.0015625,mKate,16.66666667,165.5676913,72.15339714
Heterogenous_onsite,0.000002,0.00625,GFP,16.66666667,13687.66518,1179.457966
Heterogenous_onsite,0.000002,0.00625,mKate,16.66666667,342.9227126,97.49530222
Heterogenous_onsite,0.000002,0.025,GFP,16.66666667,10064.90569,762.6311322
Heterogenous_onsite,0.000002,0.025,mKate,16.66666667,1375.959525,675.9990469
Heterogenous_onsite,0.000002,0.1,GFP,16.66666667,7833.872386,929.0927028
